No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
129_1,QUADRUPOLE(4),46.7195,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130_1,QUADRUPOLE(5),53.335,0.0005,0,0,1,0,0,0,0,0,0,2.85053e-06,-6.20706e-06,0,0,0.000498648,-0.00552987,0,0
131_1,QUADRUPOLE(6),171.253,0.0005,0,0,1,0,0,0,0,0,0,1.69077e-07,4.61966e-06,0,0,1.69688e-05,0.000230195,0,0
132_1,QUADRUPOLE(7),198.89,0.0005,0,0,1,0,0,0,0,0,0,5.11518e-07,-6.41169e-06,0,0,4.36637e-06,-5.46443e-05,0,0
133_1,RBEND(1),63.022,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134_1,RBEND(2),67.288,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135_1,RBEND(3),71.554,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136_1,RBEND(4),75.82,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137_1,RBEND(5),80.086,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138_1,RBEND(6),84.352,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139_1,RBEND(7),162.625,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140_1,VKICKER(1),29.842,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141_1,VKICKER(2),38.019,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142_1,VKICKER(3),53.814,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143_1,VKICKER(4),164.888,0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144_1,VKICKER(5),167.481,0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,-1.79203e-06,0,0,1.26025e-05,0.000675551,0,0
