No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
110_1,RBEND(2),67.288,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111_1,RBEND(3),71.554,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112_1,RBEND(4),75.82,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_1,RBEND(5),80.086,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,RBEND(6),84.352,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_1,RBEND(7),162.625,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_1,VKICKER(1),29.842,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_1,VKICKER(2),38.019,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_1,VKICKER(3),53.814,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_1,VKICKER(4),164.888,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_1,VKICKER(5),167.481,0,0.0002,0,1,0,0,0,0,0,0,0,0,1.73648e-07,-1.15876e-06,0,0,7.47815e-06,0.000115069
121_1,HKICKER(1),29.842,0,0.0005,0,1,0,0,0,0,0,0,0,0,6.63933e-07,-2.85107e-05,0,0,0.000361145,-0.0047101
122_1,HKICKER(2),38.019,0,0.0005,0,1,0,0,0,0,0,0,0,0,5.22057e-07,-6.1032e-06,0,0,0.000147408,-0.000578883
123_1,HKICKER(3),53.814,0,0.0005,0,1,0,0,0,0,0,0,0,0,4.34119e-07,-2.8969e-06,0,0,1.86954e-05,0.000287674
124_1,HKICKER(4),166.185,0,0.0005,0,1,0,0,0,0,0,0,0,0,4.34119e-07,-2.8969e-06,0,0,1.86954e-05,0.000287674
125_1,HKICKER(5),193.898,0,0.0005,0,1,0,0,0,0,0,0,0,0,5.33919e-07,6.5469e-06,0,0,4.53012e-06,0.000555633
126_1,QUADRUPOLE(1),29.335,0,0.0005,0,1,0,0,0,0,0,0,0,0,2.12657e-06,1.31132e-05,0,0,0.000116564,0.00270603
127_1,QUADRUPOLE(2),37.55,0,0.0005,0,1,0,0,0,0,0,0,0,0,1.0753e-06,-2.24075e-05,0,0,0.000213895,-0.00413121
128_1,QUADRUPOLE(3),44.05,0,0.0005,0,1,0,0,0,0,0,0,0,0,7.71749e-07,-2.44469e-05,0,0,0.000280855,-0.00432721
129_1,QUADRUPOLE(4),46.7195,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130_1,QUADRUPOLE(5),53.335,0,0.0005,0,1,0,0,0,0,0,0,0,0,8.0578e-07,2.12406e-05,0,0,0.000152283,0.00346065
131_1,QUADRUPOLE(6),171.253,0,0.0005,0,1,0,0,0,0,0,0,0,0,9.67942e-07,-9.4438e-06,0,0,2.32255e-05,-0.000267959
132_1,QUADRUPOLE(7),198.89,0,0.0005,0,1,0,0,0,0,0,0,0,0,5.33919e-07,6.5469e-06,0,0,4.53013e-06,5.56327e-05
133_1,RBEND(1),63.022,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134_1,RBEND(2),67.288,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135_1,RBEND(3),71.554,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136_1,RBEND(4),75.82,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137_1,RBEND(5),80.086,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138_1,RBEND(6),84.352,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139_1,RBEND(7),162.625,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140_1,VKICKER(1),29.842,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141_1,VKICKER(2),38.019,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142_1,VKICKER(3),53.814,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143_1,VKICKER(4),164.888,0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144_1,VKICKER(5),167.481,0,0.0005,0,1,0,0,0,0,0,0,0,0,4.34119e-07,-2.8969e-06,0,0,1.86954e-05,0.000287674
